block,trial,phase,finger,startTime,endTime,duration
1,1,ME,Rest,186518.071782083,186522.014121833,3.94233975035604
1,1,ME,pinky,186522.109955041,186526.122451499,4.01249645833741
1,2,ME,Rest,186526.222451416,186530.218281166,3.99582975034718
1,2,ME,thumb,186530.318281125,186534.259944208,3.94166308335843
1,3,ME,Rest,186534.36411075,186538.451607124,4.08749637432629
1,3,ME,ring,186538.547440375,186542.564103416,4.01666304134415
1,4,ME,Rest,186542.655770041,186546.680766416,4.02499637534493
1,4,ME,index,186546.776599666,186550.759929458,3.98332979233237
1,5,ME,Rest,186550.855762666,186554.859925666,4.00416300032521
1,5,ME,middle,186554.964092291,186559.005755249,4.0416629583342
2,1,ME,Rest,186559.1015885,186563.089084833,3.98749633334228
2,1,ME,ring,186563.184918041,186567.226581041,4.04166300033103
2,2,ME,Rest,186567.322414291,186571.347410666,4.02499637531582
2,2,ME,pinky,186571.439077208,186575.472406874,4.03332966633025
2,3,ME,Rest,186575.568240083,186579.601569791,4.03332970832707
2,3,ME,thumb,186579.697403,186583.718232749,4.02082974932273
2,4,ME,Rest,186583.814065958,186587.822395666,4.00832970833289
2,4,ME,index,186587.918228875,186591.922391958,4.00416308332933
2,5,ME,Rest,186592.0140585,186596.034888249,4.02082974932273
2,5,ME,middle,186596.1307215,186600.126551208,3.99582970832125
3,1,ME,Rest,186600.218217791,186604.272380874,4.05416308331769
3,1,ME,thumb,186604.368214083,186608.405710499,4.03749641633476
3,2,ME,Rest,186608.501543708,186612.509873541,4.00832983333385
3,2,ME,pinky,186612.605706791,186616.634869833,4.02916304234532
3,3,ME,Rest,186616.730703041,186620.747366124,4.01666308334097
3,3,ME,ring,186620.843199416,186624.859862583,4.01666316733463
3,4,ME,Rest,186624.955695791,186628.951525624,3.9958298333222
3,4,ME,index,186629.047358875,186633.022355333,3.97499645833159
3,5,ME,Rest,186633.10985525,186637.130685041,4.02082979134866
3,5,ME,middle,186637.222351625,186641.251514833,4.02916320832446
4,1,ME,Rest,186641.347348083,186645.334844583,3.98749650031095
4,1,ME,ring,186645.426511166,186649.455674333,4.02916316731717
4,2,ME,Rest,186649.551507583,186653.580670791,4.02916320832446
4,2,ME,index,186653.676504083,186657.651500666,3.97499658333254
4,3,ME,Rest,186657.747333916,186661.776497124,4.02916320835357
4,3,ME,thumb,186661.872330375,186665.872326958,3.99999658335582
4,4,ME,Rest,186665.968160166,186669.922323333,3.95416316733463
4,4,ME,pinky,186670.01399,186673.968153333,3.95416333331377
4,5,ME,Rest,186674.063986541,186678.097316416,4.03332987532485
4,5,ME,middle,186678.193149666,186682.197312916,4.00416325032711
Rest,5,ME,middle,186682.293146208,186686.243142791,3.94999658333836
